useYm,total,eContnTeuTotal
201101,1114700,
201102,955254,
201103,1279939,
201104,1237088,
201105,1273897,
201106,1206610,
201107,1275001,
201108,1222190,
201109,1190026,
201110,1306126,
201111,1243372,
201112,1302294,
201201,1252373,
201202,1119593,
201203,1390361,
201204,1350427,
201205,1381318,
201206,1288816,
201207,1329925,
201208,1245644,
201209,1376797,
201210,1384579,
201211,1328119,
201212,1378098,
201301,1312102,
201302,1231718,
201303,1514915,
201304,1501421,
201305,1463111,
201306,1412304,
201307,1463319,
201308,1412901,
201309,1379595,
201310,1458094,
201311,1447574,
201312,1541814,
201401,1510790,
201402,1277100,
201403,1591599,
201404,1533776,
201405,1570950,
201406,1532842,
201407,1539836,
201408,1534017,
201409,1502090,
201410,1573837,
201411,1520488,
201412,1547272,
201501,1589359,
201502,1526729,
201503,1610307,
201504,1651504,
201505,1611437,
201506,1567627,
201507,1574120,
201508,1603137,
201509,1572456,
201510,1652460,
201511,1492841,
201512,1676628,
201601,1590781,
201602,1489672,
201603,1622266,
201604,1583764,
201605,1608666,
201606,1555049,
201607,1669519,
201608,1625867,
201609,1613349,
201610,1626174,
201611,1563035,
201612,1613173,
201701,1617223,
201702,1353033,
201703,1723523,
201704,1747775,
201705,1747459,
201706,1698140,
201707,1707134,
201708,1693163,
201709,1674359,
201710,1703561,
201711,1667390,
201712,1724175,
201801,1695025,
201802,1669990,
201803,1734926,
201804,1786391,
201805,1917475,
201806,1816704,
201807,1820178,
201808,1812224,
201809,1831881,
201810,1842633,
201811,1919810,
201812,1784113,
201901,1867525,
201902,1599660,
201903,1908113,
201904,1896014,
201905,1928372,
201906,1826030,
201907,1892426,
201908,1842614,
201909,1687410,
201910,1899394,
201911,1806894,
201912,1872438,
202001,1867540,
202002,1619929,
202003,1992378,
202004,1857382,
202005,1781511,
202006,1755316,
202007,1742316,
202008,1748610,
202009,1737189,
202010,1890629,
202011,1938691,
202012,1893517,
